Time [ns]	X (Q6.10)	X (Decimal)	Y (Q6.10)	Y (Decimal)
61885	61483	-3.958008	 2801	2.735352
62115	61347	-4.090820	 2649	2.586914
62345	61218	-4.216797	 2488	2.429688
62575	61098	-4.333984	 2317	2.262695
62805	60986	-4.443359	 2135	2.084961
63035	60884	-4.542969	 1941	1.895508
63265	60792	-4.632812	 1734	1.693359
63495	60710	-4.712891	 1515	1.479492
63725	60640	-4.781250	 1285	1.254883
63955	60581	-4.838867	 1047	1.022461
64185	60534	-4.884766	  804	0.785156
64415	60500	-4.917969	  559	0.545898
64645	60478	-4.939453	  316	0.308594
64875	60468	-4.949219	   77	0.075195
65105	60470	-4.947266	65379	-0.153320
65335	60483	-4.934570	65150	-0.376953
65565	60507	-4.911133	64925	-0.596680
65795	60542	-4.876953	64703	-0.813477
66025	60588	-4.832031	64482	-1.029297
66255	60645	-4.776367	64260	-1.246094
66485	60714	-4.708984	64036	-1.464844
66715	60794	-4.630859	63809	-1.686523
66945	60885	-4.541992	63579	-1.911133
67175	60988	-4.441406	63348	-2.136719
67405	61102	-4.330078	63118	-2.361328
67635	61228	-4.207031	62892	-2.582031
67865	61365	-4.073242	62673	-2.795898
68095	61512	-3.929688	62464	-3.000000
68325	61670	-3.775391	62267	-3.192383
68555	61837	-3.612305	62084	-3.371094
68785	62013	-3.440430	61915	-3.536133
69015	62197	-3.260742	61760	-3.687500
69245	62388	-3.074219	61619	-3.825195
69475	62586	-2.880859	61490	-3.951172
69705	62790	-2.681641	61373	-4.065430
69935	63000	-2.476562	61267	-4.168945
70165	63215	-2.266602	61171	-4.262695
70395	63434	-2.052734	61084	-4.347656
70625	63657	-1.834961	61006	-4.423828
70855	63884	-1.613281	60936	-4.492188
71085	64114	-1.388672	60873	-4.553711
71315	64347	-1.161133	60818	-4.607422
71545	64583	-0.930664	60770	-4.654297
71775	64821	-0.698242	60729	-4.694336
72005	65061	-0.463867	60695	-4.727539
72235	65302	-0.228516	60668	-4.753906
72465	    8	0.007812	60648	-4.773438
72695	  251	0.245117	60636	-4.785156
72925	  495	0.483398	60631	-4.790039
73155	  739	0.721680	60634	-4.787109
73385	  982	0.958984	60645	-4.776367
73615	 1225	1.196289	60664	-4.757812
73845	 1467	1.432617	60692	-4.730469
74075	 1707	1.666992	60729	-4.694336
74305	 1945	1.899414	60775	-4.649414
74535	 2180	2.128906	60831	-4.594727
74765	 2412	2.355469	60897	-4.530273
74995	 2641	2.579102	60973	-4.456055
75225	 2866	2.798828	61060	-4.371094
75455	 3086	3.013672	61159	-4.274414
75685	 3301	3.223633	61271	-4.165039
75915	 3510	3.427734	61397	-4.041992
76145	 3712	3.625000	61537	-3.905273
76375	 3907	3.815430	61693	-3.752930
76605	 4094	3.998047	61865	-3.584961
76835	 4272	4.171875	62053	-3.401367
77065	 4440	4.335938	62256	-3.203125
77295	 4598	4.490234	62474	-2.990234
77525	 4744	4.632812	62704	-2.765625
77755	 4879	4.764648	62944	-2.531250
77985	 5002	4.884766	63190	-2.291016
78215	 5112	4.992188	63439	-2.047852
78445	 5210	5.087891	63688	-1.804688
78675	 5295	5.170898	63936	-1.562500
78905	 5368	5.242188	64183	-1.321289
79135	 5429	5.301758	64429	-1.081055
79365	 5477	5.348633	64677	-0.838867
79595	 5513	5.383789	64928	-0.593750
79825	 5536	5.406250	65185	-0.342773
80055	 5547	5.416992	65448	-0.085938
80285	 5544	5.414062	  182	0.177734
80515	 5528	5.398438	  458	0.447266
80745	 5498	5.369141	  737	0.719727
80975	 5454	5.326172	 1016	0.992188
81205	 5396	5.269531	 1290	1.259766
81435	 5325	5.200195	 1557	1.520508
81665	 5240	5.117188	 1814	1.771484
81895	 5143	5.022461	 2061	2.012695
82125	 5034	4.916016	 2298	2.244141
82355	 4913	4.797852	 2527	2.467773
82585	 4781	4.668945	 2750	2.685547
82815	 4638	4.529297	 2969	2.899414
83045	 4484	4.378906	 3185	3.110352
83275	 4319	4.217773	 3399	3.319336
83505	 4144	4.046875	 3611	3.526367
83735	 3958	3.865234	 3820	3.730469
83965	 3762	3.673828	 4024	3.929688
84195	 3556	3.472656	 4221	4.122070
84425	 3340	3.261719	 4408	4.304688
84655	 3115	3.041992	 4583	4.475586
84885	 2882	2.814453	 4744	4.632812
